2018-10-26 4:23:16 - PHP Notice:  mysqli::__construct(): send of 113 bytes failed with errno=32 Broken pipe in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 4:23:16 - PHP Warning:  mysqli::__construct(): (HY000/2006): MySQL server has gone away in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 4:23:16 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 4:23:16 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 4:23:42 - PHP Warning:  mysqli::__construct(): MySQL server has gone away in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 4:23:42 - PHP Warning:  mysqli::__construct(): (HY000/2006): MySQL server has gone away in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 4:23:42 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 4:23:42 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 4:24:43 - PHP Notice:  mysqli::__construct(): send of 113 bytes failed with errno=32 Broken pipe in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 4:24:43 - PHP Warning:  mysqli::__construct(): (HY000/2006): MySQL server has gone away in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 4:24:43 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 4:24:43 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 4:24:43 - PHP Notice:  mysqli::__construct(): send of 113 bytes failed with errno=32 Broken pipe in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 4:24:43 - PHP Warning:  mysqli::__construct(): (HY000/2006): MySQL server has gone away in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
